标准号,国际标准编号,采标类型
GB/T 33523.700-2025,ISO 25178-700:2022,等同采用
GB/T 45737-2025,,
GB/T 45815-2025,ISO 23355:2024,修改采用
GB/T 45828-2025,,
GB/T 30111-2025,,
GB/T 14598.26-2025,IEC 60255-26:2023,修改采用
GB/T 14598.2-2025,IEC 60255-1:2022,等同采用
GB/T 39542.3-2025,ISO 9177-3:2022,等同采用
GB/T 39542.2-2025,ISO 9177-2:2022,等同采用
GB/T 39023-2025,ISO 11540:2021,等同采用
GB/T 45746-2025,,
GB/T 45744-2025,,
GB/T 45749-2025,,
GB/T 26315-2025,,
GB/T 45819-2025,,
GB/T 33523.73-2025,ISO 25178-73:2019,等同采用
GB/T 44554.3-2025,,
GB/T 19024-2025,ISO 10014:2021,等同采用
GB/T 30521-2025,,
GB/T 45738-2025,,
GB/T 45740-2025,,
GB/T 45741-2025,,
GB/T 45693-2025,,
GB/T 45743-2025,ISO 21973:2020,非等效采用
GB/T 26958.1-2025,ISO 16610-1:2015,修改采用
GB/T 15849-2025,ISO 9978:2020,修改采用
GB/T 21711.3-2025,IEC 61810-3:2015,等同采用
GB/T 45660-2025,IEC 62421:2007,修改采用
GB/T 45661-2025,,
GB/T 45666-2025,,
GB/T 14805.11-2025,ISO 9735-11:2022,修改采用
GB/T 45786-2025,,
GB/T 45787-2025,ISO 21191:2021,等同采用
GB/T 45789-2025,ISO 25358:2018,等同采用
GB/T 32250.5-2025,ISO 16122-5:2020,等同采用
GB/T 45716-2025,IEC 62373:2006,等同采用
GB/T 45718-2025,IEC 62374-1:2010,等同采用
GB/T 45719-2025,IEC 62416:2010,等同采用
GB/T 26958.30-2025,ISO 16610-30:2015,等同采用
GB/T 45667-2025,,
GB/T 17943-2025,,
GB/T 21740-2025,,
GB/T 45668-2025,,
GB/T 45840-2025,,
GB/T 19023-2025,ISO 10013:2021,等同采用
GB/T 19027-2025,ISO 10017:2021,等同采用
GB/T 16784-2025,,
GB/T 45720-2025,IEC 62374:2007,等同采用
GB/T 45721.1-2025,IEC 62880-1:2017,等同采用
GB/T 45722-2025,IEC 62415:2010,等同采用
GB/T 35351-2025,ISO/ASTM 52900:2021;ISO 17296-2:2015,非等效采用
GB/T 26958.20-2025,ISO 16610-20:2015,修改采用
GB/T 35077-2025,,
GB 45669.1-2025,,
GB 45669.2-2025,,
GB 45669.3-2025,,
GB 45669.4-2025,,
GB 45670.1-2025,,
GB 45670.2-2025,,
GB 20827-2025,,
GB 35181-2025,,
GB 5768.1-2025,,
GB 23826-2025,,
GB 45673-2025,,
GB 45671-2025,,
GB/T 45558-2025,,
GB/T 45560-2025,,
GB/T 45557-2025,,
GB/T 20604-2025,ISO 14532:2014,修改采用
