标准号,国际标准编号,采标类型
GB/T 26317-2010,,
GB/T 26412-2010,,
GB/T 26292-2010,,
GB 26123-2010,,
GB/T 26296-2010,,
GB/T 26339-2010,ISO 15254:2002,修改采用
GB 18401-2010,,
GB/T 16656.505-2010,ISO 10303-505:2000,等同采用
GB/T 16656.508-2010,ISO 10303-508:2001,等同采用
GB/T 16656.55-2010,ISO 10303-55:2005,等同采用
GB/Z 16656.1002-2010,ISO/TS 10303-1002:2001,等同采用
GB/Z 16656.1003-2010,ISO/TS 10303-1003:2001,等同采用
GB/Z 16656.1004-2010,ISO/TS 10303-1004:2001,等同采用
GB/T 16656.504-2010,ISO 10303-504:2000,等同采用
GB/T 26168.3-2010,IEC 60544-4:2003,等同采用
GB/T 4205-2010,IEC 60447:2004,等同采用
GB/T 4025-2010,IEC 60073:2002,等同采用
GB/T 26177-2010,CIE 53-1982,等同采用
GB/T 26346-2010,,
GB/Z 26214-2010,CIE 112:1994,等同采用
GB/T 26183-2010,,
GB/T 12690.17-2010,,
GB/T 18114.2-2010,,
GB/T 18114.4-2010,,
GB/T 18209.2-2010,IEC 61310-2:2007,等同采用
GB/T 18209.3-2010,IEC 61310-3:2007,等同采用
GB/T 25444.1-2010,IEC 61892-1:2001,等同采用
GB/T 26450-2010,ISO 14063:2006,等同采用
GB/T 16656.509-2010,ISO 10303-509:2001,等同采用
GB/T 18115.15-2010,,
GB/T 18115.14-2010,,
GB/T 18114.11-2010,,
GB/T 27407-2010,,
GB/T 26230-2010,ISO/IEC 26908:2007,修改采用
GB/T 26145-2010,,
GB/T 25916.1-2010,ISO 14698-1:2003,等同采用
GB/T 25916.2-2010,ISO 14698-2:2003,等同采用
GB/T 16656.56-2010,ISO 10303-56:2005,等同采用
GB/T 19114.43-2010,ISO 15531-43:2006 Ed.1,等同采用
GB/T 20719.41-2010,ISO 18629-41:2006,等同采用
GB/T 26128-2010,,
GB/T 19584-2010,,
GB/T 26241.1-2010,ISO/IEC 14476-1:2002,等同采用
GB/T 26243.1-2010,ISO/IEC 16512-1:2005,等同采用
GB/T 26297.2-2010,ISO 8007-3:2003,修改采用
GB/T 26297.3-2010,ISO 8007-2:1999,修改采用
GB/T 26271-2010,,
GB/T 26229-2010,ISO/IEC 26907:2007,修改采用
GB/T 26327-2010,,
GB/T 22124.2-2010,,
GB/T 26154-2010,,
GB 4706.104-2010,IEC 60335-2-83:2008,等同采用
GB/T 17215.101-2010,IEC TR 62051-1:2004,等同采用
GB 4706.101-2010,IEC 60335-2-97:2009,等同采用
GB/T 26218.1-2010,IEC/TS 60815-1:2008,修改采用
GB 4706.102-2010,IEC 60335-2-89:2007,等同采用
GB/T 4497.1-2010,ISO 6528-1:1992,等同采用
GB 4706.103-2010,IEC 60335-2-86:2005,等同采用
GB/T 26224-2010,,
GB/T 26357-2010,,
GB/T 27545-2011,,
GB/T 14080-2010,,
GB/T 26137-2010,,
GB/T 26335-2010,,
GB/T 18114.10-2010,,
GB/T 18114.6-2010,,
GB/T 18114.7-2010,,
GB 4706.17-2010,IEC 60335-2-34:2009,等同采用
GB/T 26275.2-2010,,
GB/T 26289-2010,,
GB/T 273.1-2011,ISO 355:2007,等同采用
GB/T 23702.2-2010,ISO 15536-2:2007,等同采用
GB/T 15678-2010,,
GB/T 26307-2010,,
GB/T 27534.6-2011,,
GB/T 27534.4-2011,,
GB/T 17017-2010,,
GB/T 26127-2010,,
GB/T 27522-2011,,
GB/T 27534.1-2011,,
GB/T 27534.2-2011,,
GB/T 26299-2010,,
GB/T 4294-2010,,
GB/T 26413-2010,,
GB/T 915-2010,,
GB/Z 26139-2010,ISO/TR 25398:2006,等同采用
GB 4706.58-2010,IEC 60335-2-66:2008,修改采用
GB/T 26245-2010,,
GB/T 27534.5-2011,,
GB/T 27534.8-2011,,
GB/T 26276-2010,,
GB/T 26279-2010,,
GB/T 26341-2010,,
GB/T 26303.3-2010,,
GB/T 26304-2010,,
GB/T 12703.6-2010,,
GB/T 26411-2010,USEPA METHOD 525.2、3535和610,非等效采用
GB/T 18442.3-2011,,
GB/T 18442.5-2011,,
GB/T 18442.6-2011,,
GB/T 26144-2010,,
GB/T 26201-2010,,
GB/T 26280-2010,ISO 721:1991,非等效采用
GB/T 26204-2010,,
GB/T 25601-2010,,
GB/T 5135.18-2010,,
GB/T 8769-2010,,
GB 16715.5-2010,,
GB/T 16767-2010,,
GB/T 7962.20-2010,,
GB 19175-2010,,
GB 16715.1-2010,,
GB/T 7187.2-2010,,
GB/T 7962.5-2010,,
GB/T 26423-2010,,
GB/T 4964-2010,ISO 2922:2000,非等效采用
GB/T 7962.17-2010,,
GB/T 14041.3-2010,ISO 2941:2009,等同采用
GB/T 26433-2010,,
GB/T 7962.8-2010,,
GB/T 26420-2010,,
GB/T 6936-2010,,
GB/T 7962.9-2010,,
GB/T 26227-2010,ISO/IEC 15421:2000,修改采用
GB/T 17178.2-2010,ISO 9646-2:1994,修改采用
GB/T 6935-2010,,
GB/T 26360-2010,,
GB/T 26353-2010,,
GB/T 26377-2010,,
GB/T 15921-2010,,
GB/T 26228.1-2010,ISO/IEC 15426-1:2006,修改采用
GB/T 26355-2010,,
GB/T 26363-2010,,
GB 7793-2010,,
GB 19176-2010,,
GB 19174-2010,,
GB/T 7962.12-2010,,
GB/Z 16682.1-2010,ISO/IEC TR 10000-1:1998,修改采用
GB/T 19882.211-2010,,
GB 8080-2010,,
GB 16715.2-2010,,
GB/T 7962.16-2010,,
GB 16715.4-2010,,
GB/T 9967-2010,,
GB/T 26321-2010,,
GB/T 26314-2010,,
GB/T 26293-2010,ISO 17544:2004,等同采用
GB/T 25929-2010,,
GB/T 26195-2010,,
GB/T 26257-2010,,
GB 26172.1-2010,ISO 10131-1:1997,修改采用
GB/T 26178-2010,CIE 84-1989,等同采用
GB/T 3849.2-2010,ISO 3738-2:1988,等同采用
GB/T 26141.2-2010,ISO 14096-2:2005,等同采用
GB/T 1001.2-2010,IEC 60383-2:1993,修改采用
GB/T 26153.2-2010,,
GB/T 26246-2010,,
GB/T 26290-2010,,
GB/T 26160-2010,,
GB/T 26199-2010,,
GB/T 18114.5-2010,,
GB 16715.3-2010,,
GB/T 27690-2011,,
GB/T 18268.25-2010,IEC 61326-2-5:2006,等同采用
GB/T 27552-2011,ISO 9015-2:2003,等同采用
GB/T 25920-2010,,
GB/T 26329-2010,IEC 61081:1991,等同采用
GB/T 16656.51-2010,ISO 10303-51:2005,等同采用
GB/T 7962.10-2010,,
GB/T 26440-2010,,
GB/T 26240-2010,ISO/IEC 26702:2007,等同采用
GB/T 26158-2010,,
GB/T 15489.6-2010,,
GB/T 25915.4-2010,ISO 14644-4:2001,等同采用
GB/T 13347-2010,,
GB/T 26147-2010,,
GB/T 26439-2010,,
GB/T 26226-2010,,
GB/T 27530-2011,,
GB 26345-2010,,
GB/T 16895.18-2010,IEC 60364-5-51:2005 Ed.5.0,等同采用
GB/T 26309-2010,,
GB/T 16477.2-2010,,
GB/T 25927-2010,,
GB/T 26189-2010,ISO 8995:2002/CIE S008/E:2001,等同采用
GB/T 18823-2010,,
GB/T 26312-2010,,
GB/T 26249-2010,,
GB/T 26340-2010,,
GB/T 26306-2010,ASTM B 16/B 16M-2005、,修改采用
GB/T 27524-2011,,
GB/T 7962.18-2010,,
GB/T 26303.2-2010,,
GB/T 26298-2010,,
GB/T 26427-2010,ISO 7932:2004,修改采用
GB/T 23703.6-2010,,
GB/T 26152-2010,,
GB/T 26146-2010,,
GB/T 7962.15-2010,,
GB/T 7962.3-2010,,
GB/T 26359-2010,,
GB/T 26252-2010,,
GB/T 26270-2010,,
GB/T 26365-2010,,
GB/T 26218.2-2010,IEC/TS 60815-2:2008,修改采用
GB/T 14081-2010,,
GB/T 15920-2010,,
GB/T 26253-2010,ISO 15106-2:2003,修改采用
GB/T 26286-2010,,
GB 21551.5-2010,,
GB/T 16273.7-2010,,
GB/T 26269-2010,,
GB/T 26263-2010,,
GB/T 26297.6-2010,ISO 6375:1980,等同采用
GB/T 3372-2010,ISO 4251-3:2006,非等效采用
GB/T 25741-2010,,
GB/T 26190-2010,,
GB/T 25924-2010,,
GB 21551.2-2010,,
GB/T 150.4-2011,,
GB/T 18442.4-2011,,
GB/T 27532-2011,,
GB/T 26333-2010,,
GB/T 15919-2010,,
GB/T 18209.1-2010,IEC 61310-1:2007,等同采用
GB/T 26351-2010,,
GB/T 26297.1-2010,ISO 8007-1:1999,修改采用
GB/T 26441-2010,,
GB/T 16656.28-2010,ISO 10303-28:2007,等同采用
GB/T 26233-2010,,
GB/T 26375-2010,,
GB/Z 26138-2010,ISO/TR 15847:2008,等同采用
GB/Z 26157.5-2010,IEC 61158:2003,修改采用
GB/T 26432-2010,,
GB/T 26328-2010,,
GB/T 25600-2010,,
GB/T 27523-2011,,
GB 4404.2-2010,,
GB/Z 26207-2010,CIE 94-1993,等同采用
GB/Z 26210-2010,CIE 97:1992,等同采用
GB/T 25930-2010,,
GB/T 26163.1-2010,ISO 23081-1:2006,等同采用
GB/T 26222-2010,,
GB/T 12703.7-2010,,
GB/T 27533-2011,,
GB/T 26322-2010,,
GB 16362-2010,,
GB/T 27408-2010,,
GB/T 17178.4-2010,ISO/IEC 9646-4:1994,修改采用
GB/T 18114.3-2010,,
GB/T 15488-2010,,
GB/T 26435-2010,,
GB/T 6345.1-2010,,
GB/T 14996-2010,,
GB/T 25873-2010,ISO 2167:1991,等同采用
GB/T 25874.1-2010,ISO 9473-1:2006,修改采用
GB/T 5946-2010,,
GB/T 25862-2010,,
GB/T 25885-2010,IWTO-12-03,修改采用
GB/T 25974.3-2010,EN 1804-3:2001,非等效采用
GB/T 25976-2010,ISO 24408:2005,等同采用
GB/T 25906.4-2010,,
GB/T 25903.2-2010,,
GB/T 25907.5-2010,,
GB/T 25906.3-2010,,
GB/T 26122.1-2010,,
GB/T 6536-2010,ASTM D86:2007a,修改采用
GB/T 25892.3-2010,,
GB/T 26012-2010,,
GB/T 25913-2010,,
GB/T 25893.1-2010,,
GB/T 25893.2-2010,,
GB/T 26046-2010,,
GB/T 26013-2010,,
GB/T 26044-2010,,
GB/T 25890.6-2010,IEC 61992-6:2006,等同采用
GB/T 26015-2010,,
GB/T 25907.4-2010,,
GB/T 25907.6-2010,,
GB/T 25907.1-2010,,
GB/T 25907.2-2010,,
GB/T 25902.1-2010,,
GB/T 25902.3-2010,,
GB/T 1402-2010,IEC 60850:2007,修改采用
GB/T 26033-2010,,
GB/T 26099.3-2010,,
GB/T 26099.4-2010,,
GB/T 25858-2010,,
GB/T 26086-2010,,
GB/T 26028-2010,,
GB/T 26032-2010,,
GB/T 26108-2010,,
GB/Z 26082-2010,,
GB/T 25988-2010,ISO 3853:1994,等同采用
GB/T 25979-2010,ISO 14791:2000,等同采用
GB/T 25980-2010,ISO 1103:2007,等同采用
GB/T 25850-2010,ISO 23813:2007,等同采用
GB/T 26067-2010,,
GB/T 17793-2010,,
GB/T 14847-2010,,
GB/T 25890.7-2010,IEC 61992-7-1:2006,等同采用
GB/T 25890.8-2010,IEC 61992-7-2:2006,等同采用
GB/T 16273.8-2010,,
GB/T 16273.4-2010,,
GB/T 25896.3-2010,,
GB/T 25896.2-2010,,
GB/T 26037-2010,,
GB/T 10029-2010,,
GB 25971-2010,ISO 14520-11:2005,非等效采用
GB/T 25504-2010,,
GB 25989-2010,ASTM D396:2005,非等效采用
GB/T 25863-2010,,
GB 18100.3-2010,EEC/93/92,非等效采用
GB/T 25878-2010,,
GB/T 18632-2010,,
GB/T 25890.9-2010,IEC 61992-7-3:2006,等同采用
GB/T 25905.2-2010,,
GB/T 25906.1-2010,,
GB/T 25900-2010,,
GB/T 25903.1-2010,,
GB/T 25904.1-2010,,
GB/T 26106-2010,ISO 12683:2004,等同采用
GB/T 26107-2010,ISO 10587:2000,等同采用
GB/T 25906.2-2010,,
GB/T 26066-2010,,
GB/T 25904.3-2010,,
GB/T 25905.1-2010,,
GB/T 26022-2010,ISO 7156:1991,修改采用
GB/T 26030-2010,ISO 9725:1992（E）,修改采用
GB/T 17456.2-2010,ISO 8179-2:1995,修改采用
GB/T 26043-2010,ISO 20081:2005,修改采用
GB/T 26051-2010,ISO 11873:2005,等同采用
GB/T 25906.5-2010,,
GB/T 25902.2-2010,,
GB/T 25904.2-2010,,
GB/T 25907.3-2010,,
GB/T 8028-2010,,
GB/T 4509-2010,ASTM D5:2006,修改采用
GB/T 25974.2-2010,EN 1804-2:2001,非等效采用
GB 17907-2010,,
GB/T 19163-2010,,
GB/T 26112-2010,,
GB/T 26113-2010,,
GB/T 26039-2010,,
GB/T 26040-2010,,
GB/T 26087-2010,ISO 15084:2003,等同采用
GB/T 25901.1-2010,,
GB/T 25962-2010,ASTM D4290-07,修改采用
GB/T 26078-2010,,
GB/T 26004-2010,,
GB/T 3610-2010,,
GB/T 26010-2010,,
GB/T 2893.3-2010,ISO 3864-3:2006,修改采用
GB/T 26020-2010,,
GB/T 25890.1-2010,IEC 61992-1:2006,等同采用
GB/T 25890.2-2010,IEC 61992-2:2006,等同采用
GB/T 25890.3-2010,IEC 61992-3:2006,等同采用
GB 18100.1-2010,ECE R53:2006,非等效采用
GB/T 262-2010,ISO 2977:1997,修改采用
GB/T 3406-2010,ASTM D5606-2001(2006),修改采用
GB/T 2013-2010,ASTM D891:1995,非等效采用
GB/T 11147-2010,ASTM D140-01（2007确认）,修改采用
GB/T 4508-2010,ASTM D 113:1999,修改采用
GB/T 13377-2010,ISO 3838:2004,修改采用
GB/T 26034-2010,,
GB/T 26035-2010,,
GB/T 26049-2010,,
GB/T 25985-2010,ECE R116(修订本2),修改采用
GB/T 26088-2010,,
GB/T 10183.4-2010,ISO 12488-4:2004,等同采用
GB/T 22437.4-2010,ISO 8686-4:2005,修改采用
GB/T 6949-2010,,
GB/T 25983-2010,,
GB/T 17698-2010,,
GB 18100.2-2010,ECE R74:2007,非等效采用
GB/T 26099.1-2010,,
GB/T 26042-2010,ISO 3815-1:2005,修改采用
GB/T 26045-2010,,
GB/T 26099.2-2010,,
GB/T 10051.4-2010,DIN 15401-1:1982,修改采用
GB/T 10051.5-2010,DIN 15401-2:1983,修改采用
GB/T 25992-2010,ISO 15917:2007,等同采用
GB/T 26115-2010,,
GB/T 467-2010,,
GB/T 26056-2010,,
GB/T 26103.1-2010,,
GB/T 26103.5-2010,,
GB/T 26120-2010,ISO 4144-2003,修改采用
GB/T 26009-2010,,
GB 18428-2010,,
GB/T 26057-2010,,
GB/T 26058-2010,,
GB/T 26059-2010,,
GB/T 26060-2010,,
GB/T 14212-2010,ISO 10190:2008,等同采用
GB/T 26118.1-2010,EN 12198-1:2000,等同采用
GB/T 25884-2010,,
GB/T 25888-2010,,
GB/T 25966-2010,,
GB/T 25967-2010,,
GB/T 26048-2010,,
GB/T 25973-2010,,
GB/T 26118.3-2010,EN 12198-3:2002,等同采用
GB/T 25866-2010,,
GB/T 26119-2010,,
GB/T 25846-2010,,
GB/T 25848-2010,,
GB/T 26000-2010,,
GB/T 25968-2010,,
GB/T 14800-2010,ISO 12236:200,等同采用
GB/T 12703.4-2010,,
GB/T 13763-2010,,
GB/T 26085-2010,,
GB/T 25886-2010,,
GB/T 16823.3-2010,ISO 16047:2005,等同采用
GB/T 3098.1-2010,ISO 898-1:2009,修改采用
GB/T 3098.8-2010,DIN 267-13:2007,等同采用
GB/T 25995-2010,ISO 18754:2003,修改采用
GB/T 26003-2010,,
GB/T 25883-2010,,
GB/T 25853-2010,ISO 7593:1986,等同采用
GB/T 25859-2010,,
GB/T 25860-2010,,
GB/T 25847-2010,ASTM C466 - 2003,非等效采用
GB/T 26061-2010,,
GB/T 26062-2010,,
GB/T 26031-2010,,
GB/T 26064-2010,,
GB/T 26092-2010,,
GB/T 6468-2010,,
GB/T 25892.4-2010,,
GB/T 26103.4-2010,,
GB/T 3931-2010,,
GB/T 26025-2010,,
GB/T 26079-2010,,
GB/T 26104-2010,,
GB/T 25894-2010,ISO 23601:2009,修改采用
GB/T 25898-2010,,
GB/T 25970-2010,,
GB/T 25987-2010,,
GB/T 25892.6-2010,,
GB/T 25892.7-2010,,
GB/T 25892.1-2010,,
GB/T 25892.2-2010,,
GB/T 25910.2-2010,,
GB/T 25877-2010,,
GB/T 25875-2010,,
GB/T 25891-2010,,
GB/T 25999-2010,,
GB/T 26041-2010,,
GB/T 25844-2010,,
GB/T 25505-2010,,
GB/T 26100-2010,,
GB/T 25879-2010,,
GB/T 25880-2010,,
GB/T 25887-2010,,
GB/T 25882-2010,,
GB/T 25876-2010,,
GB/T 26105-2010,,
GB/T 10051.2-2010,DIN 15404-1:1989,修改采用
GB/T 25856-2010,Fpr EN 81-31:2009,等同采用
GB/T 26095-2010,,
GB/T 26096-2010,,
GB/T 26097-2010,,
GB/T 24513.2-2010,ISO 11844-2:2005,等同采用
GB/T 26006-2010,,
GB/T 25960-2010,,
GB 17352-2010,ECE R81:2007 (00系列),非等效采用
GB/T 26005-2010,,
GB/Z 24636.5-2010,,
GB/T 26011-2010,,
GB/T 6730.69-2010,,
GB/T 10051.9-2010,DIN 15412-2:1983,修改采用
GB/T 10051.10-2010,DIN 15413:1983,修改采用
GB/T 10051.11-2010,DIN 15414:1983,修改采用
GB/T 25854-2010,ISO 2415:2004,等同采用
GB/T 26094-2010,,
GB/T 26090-2010,,
GB/T 26091-2010,,
GB/T 26054-2010,,
GB/T 25855-2010,ISO 16798:2004,等同采用
GB/T 24218.101-2010,,
GB/T 10051.15-2010,,
GB/T 10051.12-2010,DIN 15106:1982,修改采用
GB/T 25865-2010,,
GB/T 25892.8-2010,,
GB/T 25911-2010,,
GB/T 25912-2010,,
GB/T 10051.14-2010,DIN 15405-2:1988,非等效采用
GB/T 10051.13-2010,DIN 15404-2:1988,非等效采用
GB/T 26076-2010,,
GB/T 14525-2010,,
GB/T 10051.1-2010,DIN 15400:1990,修改采用
GB/T 26001-2010,,
GB/T 25959-2010,,
GB/T 25986-2010,,
GB/T 25908-2010,,
GB/T 25909.2-2010,,
GB/T 26109-2010,,
GB/T 26021-2010,,
GB/T 12041.1-2010,,
GB 25974.1-2010,EN 1804-1:2001,非等效采用
GB/T 494-2010,ASTM D 312:2000（2006年确认）,修改采用
GB/T 5199-2010,,
GB/T 25872-2010,ISO 7562:1990,等同采用
GB/T 18395-2010,,
GB/T 16794.1-2010,,
GB/T 25869-2010,ISO 1673:1991,等同采用
GB/T 10051.3-2010,DIN 15405-1:1979,修改采用
GB/T 16793.1-2010,,
GB/T 15052-2010,ISO 13200:1995,等同采用
GB/T 25961-2010,ASTM D1275-06,修改采用
GB/T 26098-2010,,
GB/T 26101-2010,,
GB/T 25892.5-2010,,
GB/T 26072-2010,,
GB/T 14995-2010,,
GB/T 26093-2010,,
GB 25506-2010,,
GB/T 10051.6-2010,DIN 15402-1:1982,修改采用
GB/T 25902.4-2010,,
GB/T 25964-2010,ISO 15169:2003,修改采用
GB/T 26084-2010,,
GB/T 25890.4-2010,IEC 61992-4:2006,等同采用
GB 25972-2010,,
GB/T 25851.1-2010,ISO 11662-1:1995,等同采用
GB/T 26121-2010,,
GB/T 25994-2010,,
GB/T 26065-2010,,
GB/T 26023-2010,,
GB/T 25864-2010,,
GB/T 25895.1-2010,ISO 20712-1:2008,修改采用
GB/T 26102-2010,,
GB/T 25969-2010,,
GB/T 26073-2010,,
GB/T 26070-2010,,
GB/T 26103.3-2010,,
GB/T 90.3-2010,ISO 16426:2002,等同采用
GB/T 2501-2010,,
GB/T 25870-2010,ISO 9833:1993,等同采用
GB/T 26019-2010,,
GB/T 25965-2010,,
GB/T 5923-2010,ISO 4020:2001,修改采用
GB/T 26110-2010,,
GB/T 25907.8-2010,,
GB/T 25984.1-2010,,
GB/T 26074-2010,,
GB/T 5007.1-2010,,
GB/T 3146.1-2010,ASTM D850-03(2008),修改采用
GB/T 7607-2010,,
GB/T 26122.2-2010,,
GB/T 25867-2010,ISO 9719:1995,等同采用
GB/T 26118.2-2010,EN 12198-2:2002,等同采用
GB/T 10051.7-2010,DIN 15402-2:1983,修改采用
GB/T 25901.2-2010,,
GB/T 10051.8-2010,DIN 15412-1:1983,修改采用
GB/T 25896.1-2010,,
GB/T 25907.7-2010,,
GB/T 25868-2010,ISO 9376:1988,等同采用
GB/T 25881-2010,,
GB/T 26026-2010,,
GB/T 25874.2-2010,ISO 9473-2:2006,修改采用
GB/T 25871-2010,ISO 8683:1988,等同采用
GB/T 6467-2010,,
GB/T 28046.2-2011,ISO 16750-2:2006,修改采用
GB/T 27507-2011,SMPTE RP 21:2004,修改采用
GB/T 13982-2011,,
GB/T 28011-2011,,
GB/T 28022-2011,CPSC Age Determination Guidelines:2002,修改采用
GB/T 17713-2011,,
GB/T 4167-2011,,
GB/T 28029.2-2011,IEC 61375-2:2007,等同采用
GB/T 28043-2011,ISO 13528:2005,等同采用
GB/T 28041-2011,,
GB/T 28026.1-2011,IEC 62128-1:2003,等同采用
GB/T 28029.1-2011,IEC 61375-1:2007,等同采用
GB 28008-2011,,
GB/T 28045-2011,ISO 21848:2005,修改采用
GB/T 28026.2-2011,IEC 62128-2:2003,等同采用
GB/T 14858-2011,,
GB/T 14272-2011,,
GB/T 19630.2-2011,,
GB/T 19630.3-2011,,
GB/T 19630.4-2011,,
GB/T 19630.1-2011,,
GB/T 11059-2011,ASTM D6377-08,修改采用
GB 19272-2011,,
GB/T 3499-2011,ISO/CD 8287:2010,非等效采用
GB/T 5510-2011,,
GB/T 3778-2011,,
GB/T 27612.3-2011,ISO 15886-3:2004,等同采用
GB/T 14833-2011,,
GB/T 19277.1-2011,ISO 14855-1:2005,等同采用
GB/T 1918-2011,ГОСТ 19790-74:1995,非等效采用
GB/T 9578-2011,,
GB/T 26849-2011,,
GB/T 10001.3-2011,,
GB/T 26871-2011,,
GB/T 26866-2011,,
GB/T 26865.2-2011,,
GB/T 26792-2011,,
GB/T 26794-2011,,
GB/T 26817-2011,,
GB/T 26863-2011,,
GB/T 17215.701-2011,,
GB/T 3405-2011,ASTM D 2359-07、ASTM D 4734-07,修改采用
GB/T 26841-2011,,
GB/T 26842-2011,,
GB/T 26824-2011,,
GB 14023-2011,IEC/CISPR 12:2009,等同采用
GB/T 26838-2011,,
GB/T 10357.5-2011,ISO 7170:2005,修改采用
GB/T 19590-2011,,
GB/T 26846-2011,,
GB/T 10327-2011,,
GB/T 26968-2011,,
GB/T 26779-2011,,
GB/T 26901-2011,,
GB/T 26904-2011,,
GB/T 26982-2011,ГОСТ 11851:1985,修改采用
GB/T 26985-2011,ASTM D 5853:2006,修改采用
GB/T 26981-2011,,
GB/T 26990-2011,,
GB/T 26991-2011,ISO/TR 11954:2008,修改采用
GB/T 26945-2011,,
GB/T 26940-2011,,
GB/T 26946.1-2011,ISO 13563-1:2001,等同采用
GB/T 26954-2011,ISO 17643:2005,修改采用
GB/T 26957-2011,ISO 9018:2003,等同采用
GB/T 28004-2011,,
GB/T 26978.1-2011,EN 14620-1:2006,修改采用
GB/T 26998-2011,,
GB/T 26999-2011,,
GB/Z 26958.20-2011,ISO/TS 16610-20:2006,等同采用
GB/T 26978.2-2011,EN 14620-2:2006,修改采用
GB/T 26978.3-2011,EN 14620-3:2006,修改采用
GB/T 26978.4-2011,EN 14620-4:2006,修改采用
GB/T 26938-2011,,
GB/T 11834-2011,JIS R3455:1995,非等效采用
GB/T 1614-2011,JIS K1415:1992,修改采用
GB/T 26947-2011,,
GB/Z 26958.29-2011,ISO/TS 16610-29:2006,等同采用
GB/Z 26958.1-2011,ISO/TS 16610-1:2006,等同采用
GB/T 26749-2011,ISO 10618:2004(E),等同采用
GB/T 26731-2011,,
GB/T 26732-2011,,
GB/T 26899-2011,,
GB/T 26751-2011,,
GB/T 7746-2011,,
GB/T 26905-2011,,
GB/T 26906-2011,,
GB/T 26771-2011,,
GB/T 26778-2011,,
GB/T 26777-2011,,
GB/T 26882.1-2011,,
GB/T 26882.2-2011,,
GB/T 26882.4-2011,,
GB/T 5100-2011,ISO 4706:1989,非等效采用
GB/T 10060-2011,,
GB/T 26781-2011,,
GB/T 26764-2011,,
GB/T 9195-2011,,
GB/T 26925-2011,,
GB/T 26927-2011,,
GB/T 26762-2011,,
GB/T 26765-2011,,
GB/T 8190.5-2011,ISO 8178-5:2008,等同采用
GB/T 26782.3-2011,,
GB/T 26782.1-2011,,
GB/T 26782.2-2011,,
GB/T 26766-2011,,
GB/T 26978.5-2011,EN 14620-5:2006,修改采用
GB 26756-2011,,
GB/T 26752-2011,,
GB/T 26774-2011,,
GB/T 26907-2011,,
GB/T 1346-2011,ISO 9597:2008,非等效采用
GB/T 26741-2011,,
GB/T 26747-2011,,
GB/T 5764-2011,JIS D43ll:1995,非等效采用
GB/T 26760-2011,,
GB/T 26882.3-2011,,
GB/T 26879-2011,,
GB/T 11638-2011,ISO 3807.2:2000,非等效采用
GB/T 26745-2011,,
GB/T 19189-2011,,
GB/T 26565-2011,,
GB/T 712-2011,,
GB/T 26713-2011,,
GB 8159-2011,,
GB/T 26704-2011,,
GB/T 26712-2011,,
GB/T 26717-2011,JIS S6025:2002,修改采用
GB/T 26692-2011,,
GB/T 17491-2011,ISO 4409:2007,修改采用
GB/T 19212.5-2011,IEC 61558-2-4:2009,等同采用
GB/T 26719-2011,,
GB/T 26716-2011,ISO 764:2002,等同采用
GB/T 26727-2011,,
GB/T 14685-2011,,
GB/T 14684-2011,,
GB/T 26693-2011,ISO 3764:2000,修改采用
GB/T 26540-2011,,
GB/T 26641-2011,,
GB/T 26554-2011,,
GB/T 26669-2011,,
GB 252-2011,,
GB/T 26705-2011,,
GB/T 26667-2011,,
GB/T 26688-2011,IEC 62034:2006,等同采用
GB/T 26694-2011,,
GB/T 18820-2011,,
GB/T 26686-2011,,
GB/T 26683-2011,,
GB/T 19228.1-2011,,
GB/T 10596-2011,,
GB/T 26557-2011,EN 12159:2000+A1:2009,修改采用
GB 17927.1-2011,ISO 8191-1:1988,非等效采用
GB/T 26628.1-2011,,
GB/T 14560-2011,,
GB/T 14695-2011,,
GB/T 26656-2011,,
GB/T 26726-2011,,
GB/T 26536-2011,,
GB/T 12085.20-2011,ISO 9022-20:1997,修改采用
GB/T 12085.21-2011,ISO 9022-21:1998,修改采用
GB/T 12085.18-2011,ISO 9022-18:1994,修改采用
GB/T 12085.17-2011,ISO 9022-17:1994,修改采用
GB/T 26561-2011,ISO 10525:1997,等同采用
GB/T 26714-2011,ISO 12757-1:1998、ISO 12757-2:1998,修改采用
GB/T 26698-2011,,
GB/T 26699-2011,,
GB 17927.2-2011,ISO 8191-2:1988,非等效采用
GB/T 26610.1-2011,API RP 580:2002,非等效采用
GB/T 26722-2011,,
GB/T 26601-2011,ISO 8577:1997,修改采用
GB/T 26600-2011,ISO 8036:2006,修改采用
GB/T 26689-2011,,
GB/T 16886.1-2011,ISO 10993-1:2009,等同采用
GB 14922.2-2011,,
GB/T 26647.1-2011,ISO 13323-1:2000,等同采用
GB/T 12085.19-2011,ISO 9022-19:1994,修改采用
GB/Z 26668-2011,IEC 62474 CDV:2010,非等效采用
GB/T 26685-2011,,
GB/T 26684-2011,,
GB/T 14404-2011,,
GB/T 26703-2011,,
GB/T 26559-2011,,
GB/T 26725-2011,,
GB/T 14598.11-2011,IEC 60255-11:2008,等同采用
GB/T 26718-2011,,
GB/T 26655-2011,ISO 16112:2006,修改采用
GB/T 26642-2011,EN 14784-2:2005,修改采用
GB/T 10217-2011,,
GB/T 12604.10-2011,,
GB/T 26711-2011,JIS S6037:2006,修改采用
GB/T 18691.3-2011,ISO 9635-3:2006,修改采用
GB/T 26501-2011,ASTM F423:1995,非等效采用
GB/T 18691.1-2011,ISO 9635-1:2006,修改采用
GB/T 18691.2-2011,ISO 9635-2:2006,修改采用
